timestamp,latitude,longitude,altitude,speed,course,hacc
1759427020000,13.661011,-89.278856,926.297,6.170,194.200,10.193
1759427021000,13.660959,-89.278870,926.417,6.170,194.000,9.955
1759427022000,13.660907,-89.278885,926.545,6.180,193.800,9.935
1759427023000,13.660852,-89.278898,926.750,6.190,193.500,9.935
1759427024000,13.660802,-89.278912,927.682,6.360,194.300,10.066
1759427025000,13.660744,-89.278925,927.674,6.290,193.900,10.025
1759427026000,13.660689,-89.278941,927.436,5.820,193.800,9.935
1759427027000,13.660636,-89.278959,928.527,6.110,194.000,9.935
1759427028000,13.660571,-89.278974,928.737,6.870,194.000,9.935
1759427029000,13.660501,-89.278992,928.956,7.760,194.400,9.935
1759427030000,13.660439,-89.279015,932.460,8.020,194.700,9.935
1759427031000,13.660365,-89.279036,934.714,8.340,194.500,10.055
1759427032000,13.660299,-89.279046,937.665,8.320,193.600,10.080
1759427033000,13.660230,-89.279069,939.090,7.830,193.800,10.074
1759427034000,13.660175,-89.279082,939.631,7.220,194.000,10.285
1759427035000,13.660122,-89.279086,940.140,6.550,194.000,10.220
1759427036000,13.660063,-89.279098,942.187,6.110,193.300,10.223
1759427037000,13.660024,-89.279098,942.143,4.820,192.800,10.100
1759427038000,13.659978,-89.279107,942.177,4.990,192.700,10.329
1759427039000,13.659974,-89.279107,942.349,2.010,192.700,10.036
1759427040000,13.659961,-89.279109,943.224,1.380,193.300,9.935
1759427041000,13.659944,-89.279113,944.629,1.660,193.600,9.935
1759427042000,13.659923,-89.279118,944.968,2.350,193.000,9.935
1759427043000,13.659898,-89.279123,945.544,2.660,192.700,9.935
1759427044000,13.659870,-89.279128,945.934,3.180,192.300,10.151
1759427045000,13.659832,-89.279137,946.607,4.290,191.700,9.935
1759427046000,13.659781,-89.279150,947.505,5.000,190.000,9.935
1759427047000,13.659729,-89.279153,948.461,5.590,187.100,9.935
1759427048000,13.659672,-89.279160,948.609,6.020,184.100,9.935
1759427049000,13.659618,-89.279163,948.723,6.110,180.600,9.935
1759427050000,13.659562,-89.279163,948.717,6.140,177.500,9.935
1759427051000,13.659505,-89.279164,948.883,6.120,176.000,9.935
1759427052000,13.659449,-89.279163,948.577,6.120,174.400,9.935
1759427053000,13.659392,-89.279159,948.485,6.300,171.300,9.935
1759427054000,13.659332,-89.279152,948.835,6.740,167.900,9.935
1759427055000,13.659266,-89.279137,949.315,7.040,164.300,9.935
1759427056000,13.659204,-89.279122,949.400,7.210,160.900,9.935
1759427057000,13.659145,-89.279106,948.719,7.010,157.900,9.935
1759427058000,13.659092,-89.279088,948.374,6.580,155.300,9.935
1759427059000,13.659039,-89.279069,948.803,6.240,153.200,9.935
1759427060000,13.659004,-89.279038,947.942,5.930,149.500,9.935
1759427061000,13.658958,-89.279016,948.345,5.570,147.800,10.093
1759427062000,13.658917,-89.278996,948.950,4.840,147.300,9.993
1759427063000,13.658884,-89.278980,949.348,4.140,147.400,9.935
1759427064000,13.658854,-89.278966,949.331,3.390,147.300,9.935
1759427065000,13.658830,-89.278954,948.816,2.750,147.200,9.935
1759427066000,13.658804,-89.278938,948.892,3.150,147.100,9.935
1759427067000,13.658776,-89.278920,948.737,3.490,147.000,9.935
1759427068000,13.658750,-89.278904,948.873,3.340,147.200,9.935
1759427069000,13.658724,-89.278889,948.658,3.120,147.700,9.935
1759427070000,13.658701,-89.278874,947.792,3.070,148.000,9.935
1759427071000,13.658677,-89.278858,947.744,3.120,148.000,9.935
1759427072000,13.658654,-89.278844,947.130,3.110,147.900,9.935
1759427073000,13.658632,-89.278832,947.047,2.830,148.300,9.935
1759427074000,13.658614,-89.278821,947.586,2.500,148.700,9.935
1759427075000,13.658598,-89.278814,947.376,1.880,149.100,9.935
1759427076000,13.658590,-89.278811,947.251,1.070,149.300,9.935
1759427077000,13.658587,-89.278811,946.927,0.440,149.300,9.935
1759427078000,13.658580,-89.278809,946.813,0.850,149.500,9.935
1759427079000,13.658572,-89.278807,946.319,0.950,149.600,9.935
1759427080000,13.658573,-89.278811,946.099,0.000,0.000,9.935
1759427081000,13.658576,-89.278812,945.740,0.000,0.000,9.935
1759427082000,13.658572,-89.278810,945.681,0.510,150.000,9.935
1759427083000,13.658556,-89.278805,945.558,1.750,150.600,9.935
1759427084000,13.658534,-89.278798,945.694,2.340,151.000,9.935
1759427085000,13.658512,-89.278791,946.301,2.270,151.300,9.935
1759427086000,13.658496,-89.278784,945.804,1.980,151.300,9.935
1759427087000,13.658486,-89.278778,944.763,1.460,151.600,9.935
1759427088000,13.658481,-89.278774,945.165,0.840,151.800,9.935
1759427089000,13.658479,-89.278772,944.902,0.340,152.400,9.935
1759427090000,13.658479,-89.278771,944.781,0.230,152.100,9.935
1759427091000,13.658475,-89.278768,945.597,0.860,152.300,9.935
1759427092000,13.658465,-89.278762,945.937,1.480,152.900,9.935
1759427093000,13.658454,-89.278755,945.551,1.730,153.700,9.935
1759427094000,13.658443,-89.278748,945.739,1.530,154.600,9.935
1759427095000,13.658435,-89.278742,945.868,1.390,154.900,9.935
1759427096000,13.658426,-89.278735,945.975,1.700,155.500,9.935
1759427097000,13.658411,-89.278725,946.249,2.160,157.100,9.935
1759427098000,13.658395,-89.278718,946.207,2.230,158.800,9.935
1759427099000,13.658377,-89.278710,946.217,2.260,160.000,9.935
1759427100000,13.658363,-89.278702,946.448,2.010,160.800,9.935
1759427101000,13.658349,-89.278697,946.801,1.650,162.400,9.935
1759427102000,13.658342,-89.278695,946.839,0.690,163.600,9.935
1759427103000,13.658343,-89.278693,946.843,0.000,0.000,9.935
1759427104000,13.658342,-89.278692,946.927,0.000,0.000,9.935
1759427105000,13.658340,-89.278691,946.735,0.000,0.000,9.935
1759427106000,13.658338,-89.278691,946.972,0.000,0.000,9.935
1759427107000,13.658336,-89.278691,947.028,0.000,0.000,9.959
1759427108000,13.658334,-89.278690,946.990,0.000,0.000,9.935
1759427109000,13.658333,-89.278688,946.621,0.000,0.000,9.935
1759427110000,13.658331,-89.278688,946.743,0.000,0.000,9.935
1759427111000,13.658330,-89.278688,946.714,0.000,0.000,9.935
1759427112000,13.658328,-89.278689,946.687,0.000,0.000,9.935
1759427113000,13.658328,-89.278689,946.623,0.000,0.000,9.935
1759427114000,13.658328,-89.278688,946.706,0.000,0.000,9.935
1759427115000,13.658326,-89.278688,947.065,0.210,163.600,9.935
1759427116000,13.658322,-89.278687,947.162,0.390,163.800,9.935
1759427117000,13.658318,-89.278685,947.744,0.630,163.900,9.935
1759427118000,13.658311,-89.278681,947.875,0.860,164.000,9.935
1759427119000,13.658300,-89.278677,947.859,1.410,164.800,9.935
1759427120000,13.658283,-89.278671,947.853,1.890,166.400,9.935
1759427121000,13.658267,-89.278667,947.859,1.690,167.500,9.935
1759427122000,13.658255,-89.278663,947.545,1.460,168.500,9.935
1759427123000,13.658243,-89.278662,948.239,1.320,168.900,9.935
1759427124000,13.658227,-89.278659,948.142,1.810,170.100,9.935
1759427125000,13.658204,-89.278655,948.192,2.510,172.000,9.935
